stop|coordinates
Dundas West Station|(43.6568393, -79.45333409999999)
Dundas St West / Bloor St West|(43.6566204, -79.4517061)
Roncesvalles Ave / Boustead Ave South|(43.6535524, -79.4517229)
Roncesvalles Ave / Howard Park Ave South|(43.6514994, -79.4510634)
Roncesvalles Ave / Grenadier Rd|(43.6489406, -79.4500642)
Roncesvalles Ave / High Park Blvd South|(43.6463098, -79.4490457)
Roncesvalles Ave / Galley Ave|(43.6428251, -79.44770670000001)
Roncesvalles Ave / Marion St South|(43.6410636, -79.447028)
Roncesvalles Ave / Queen St West|(43.6391909, -79.4460936)
King St West / Wilson Park Rd|(43.636631, -79.4415691)
King St West / Dowling Ave|(43.6366658, -79.43857799999999)
King St West / Jameson Ave|(43.637178, -79.436008)
King St West / Dunn Ave|(43.6377488, -79.4332591)
King St West / Spencer Ave|(43.6382296, -79.4308841)
King St West / Dufferin St|(43.638954, -79.4273614)
King St West / Joe Shuster Way|(43.6397139, -79.4235468)
King St West / Atlantic Ave|(43.6401779, -79.4212498)
King St West / Sudbury St|(43.6409652, -79.4173237)
King St West / Shaw St|(43.6414282, -79.4149971)
King St West / Strachan Ave|(43.6420487, -79.4119498)
King St West / Niagara St|(43.6428972, -79.4077039)
King St West / Tecumseth St|(43.6433939, -79.4052578)
King St West / Bathurst St East|(43.64390350000001, -79.4026703)
King St West / Portland St East|(43.6444455, -79.40005699999999)
King St West / Spadina Ave East|(43.64550450000001, -79.39492159999999)
King St West / Blue Jays Way East|(43.6460368, -79.3923068)
King St West / John St East|(43.6467650, -79.3897737)
King St W / Univ Ave E Side / St Andrew Sta|(43.6476574, -79.3848079)
King St West / Bay St East|(43.6486507, -79.3802583)
King St W / Yonge St East Side / King Station|(43.6491523, -79.37785989999999)
King St East / Church St East|(43.6499189, -79.3743915)
King St West / Jarvis St East|(43.6504761, -79.37190729999999)
King St East / Sherbourne St|(43.651266, -79.3682532)
King St East / Ontario St|(43.6517703, -79.3660731)
King St East / Parliament St|(43.6527427, -79.363224)
King St East / Sackville St|(43.6544369, -79.36033309999999)
King St East / Sumach St|(43.6555209, -79.35843899999999)
King St East / Lower River St|(43.656868, -79.3561681)
Queen St East / Carroll St|(43.65832890000001, -79.3522244)
Queen St East / Broadview Ave|(43.6588705, -79.3498245)
